Question Type: multipleresponse,Parent Category,Category,Random Answers,Grade Style,Correct Feedback,Incorrect Feedback,Points,Question,Correct,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Answer I,Answer J
multipleresponse,PSM I,Role Misapplication,Yes,Off,The Scrum Master should reinforce self-management (Developers plan their own work) and coach the Product Owner to focus on value and outcomes.,Having the Product Owner run the Daily Scrum or prescribing a RACI-based task assignment undermines self-management and blurs accountabilities.,1,A Product Owner asks the Scrum Master to assign tasks to Developers to speed things up. What are the two best responses?,"A,C",Decline to assign tasks and coach the Developers to self-manage their plan.,Invite the Product Owner to run the Daily Scrum and distribute work.,Help the Product Owner focus on communicating value and context rather than task assignments.,Publish a RACI chart mapping each task to an individual for the Sprint.,,,,,,
multipleresponse,PSM I,Event Misuse,Yes,Off,The Daily Scrum is for Developers to inspect progress toward the Sprint Goal and adapt their plan within a 15-minute time-box that they own.,"Having the Scrum Master run it, canceling it, or reducing its cadence breaks empiricism and undermines self-management.",1,The Daily Scrum has become a status report to the Scrum Master with frequent task reassignments. Which changes best realign it with Scrum?,"A,C",Have Developers inspect progress toward the Sprint Goal and plan their next day of work.,Have the Scrum Master lead the meeting to keep it efficient.,Keep it within 15 minutes and owned by the Developers.,Cancel it on days without blockers.,Hold it twice a week to reduce overhead.,,,,,
multipleresponse,PSM I,Over-control Trap,Yes,Off,"Coach the organization to minimize control points that hinder empiricism and co-create a lightweight, explicit workflow that preserves self-management.",Unilateral removal ignores organizational context; strict enforcement without adaptation preserves waste and weakens empiricism.,1,Your organization requires standardized approvals and templates before any Product Backlog item can be pulled into a Sprint. Which two actions should the Scrum Master take to avoid over-control while respecting constraints?,"B,D",Unilaterally remove the rule and proceed without approvals.,Coach leaders on how heavy controls impede empiricism; collaboratively streamline approvals to the minimum needed.,Strictly enforce the policy as-is to maintain governance.,"Work with teams to make an explicit, lightweight workflow compatible with Scrum and preserve self-management.",,,,,,
multipleresponse,PSM I,Increment Integrity,Yes,Off,A shared Definition of Done and integrating into a single Increment each Sprint ensure transparency and a usable product.,Different DoDs and multiple Product Backlogs fracture transparency and reduce the integrity of the Increment.,1,Multiple Scrum Teams are building a single product. Which two practices best protect Increment integrity?,"A,C","Adopt a single, shared Definition of Done across the teams working on the product.",Give each team its own Definition of Done tailored to its technology.,Integrate work into a single Increment at least every Sprint.,Maintain separate Product Backlogs per team to reduce conflicts.,,,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,"Focusing on the Sprint Goal and swarming preserves empiricism and value delivery, even if utilization varies.","Narrow specialization, higher WIP, longer Sprints, or replacing reviews optimize activity over learning and feedback.",1,"Leadership pushes for ""no idle time"" metrics. Which two actions best preserve empiricism while addressing efficiency concerns?","A,C",Emphasize progress toward the Sprint Goal as the primary measure over individual utilization.,Specialize roles narrowly so no one is idle.,Encourage swarming on the most valuable work even if some utilization dips.,Raise WIP limits to keep everyone busy.,Extend the Sprint length to reduce meeting overhead.,Replace the Sprint Review with a monthly performance report.,,,,
multipleresponse,PSM I,False Equivalence Trap,Yes,Off,The Product Goal is the Product Backlog's commitment; a roadmap is optional planning that may show possible releases but is not a Scrum commitment.,"Equating roadmap or Sprint Goal to the Product Goal, or replacing Product Goals each Sprint, misunderstands commitments and cadences.",1,People are treating the roadmap as the same thing as the Product Goal. Which statements correctly clarify the difference?,"A,C",A Product Goal is the long-term objective for the product and the commitment for the Product Backlog.,A roadmap and a Product Goal are interchangeable terms.,A roadmap may outline possible releases and is optional; it does not replace the Product Goal.,A Sprint Goal is equivalent to a Product Goal but shorter.,Product Goals must be replaced every Sprint.,,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,"Keeping inspection/adaptation opportunities and, if appropriate, shortening Sprints while still producing a usable Increment preserves empiricism.",Lines of code and batching reviews undermine learning and feedback cycles central to Scrum.,1,"To boost speed, leaders propose cutting back on events and batching reviews quarterly. Which two actions best preserve empiricism?","A,C",Maintain the cadence and events to enable frequent inspection and adaptation.,Measure success by lines of code to drive output.,Experiment with a shorter Sprint length if a usable Increment can still be produced each Sprint.,Consolidate Sprint Reviews into a quarterly showcase.,,,,,,
multipleresponse,PSM I,Increment Integrity,Yes,Off,Changes to the Definition of Done raise the quality bar. Only work meeting the current Definition of Done is part of the Increment; previously completed work must meet the updated standard to be considered Done.,Deferring the new Definition of Done or keeping items marked Done without meeting the updated bar undermines Increment integrity; canceling the Sprint is unrelated unless the Sprint Goal is invalid.,1,"Mid-Sprint, the team tightens the Definition of Done by adding performance tests. Two items were already marked Done under the previous Definition of Done. What should happen? Select two.","A,C",Re-open prior items; bring them to the new Definition of Done if they are to be included in the Increment,Keep prior items as Done; apply the new Definition of Done from the next Sprint only,Apply the new Definition of Done immediately; any item not meeting it is not part of the Increment,Cancel the Sprint because the Definition of Done changed,,,,,,
multipleresponse,PSM I,Event Misuse,Yes,Off,The Sprint Review is a collaborative working session to inspect the Increment and adapt the Product Backlog. Real-time conversation and adaptation are key.,Turning the Review into sign-off or a one-way presentation undermines inspection and adaptation; shielding Developers with presentations weakens transparency.,1,"Your organization treats the Sprint Review as a slide-deck demo to executives, with feedback collected later by email. Which actions align with Scrum? Select two.","A,C",Facilitate a collaborative discussion with stakeholders on the Increment and upcoming Product Backlog,Replace the demo with a formal sign-off meeting to decide release,Inspect the current Increment together and adapt the Product Backlog on the spot,Keep presentations to protect Developers' focus,,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,Refinement is a collaborative activity involving the Product Owner and Developers; the Scrum Master may facilitate. Stakeholders may be involved when helpful.,Banning facilitation or stakeholder input misunderstands refinement; it's not limited to a subset of the Scrum Team.,1,Who is appropriate to participate in Product Backlog refinement? Select all that apply.,"A,B,D",Developers,Product Owner,External stakeholders can never attend,Scrum Master may facilitate to help the team,,,,,,
